Director,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating,Average_Box_Office,Average_IMDB_Rating,Success_Metric
James Gunn,6,1146475107.0,822750000,398.0,43.900000000000006,191079184.5,7.316666666666667,11.138250356666667
Taika Waititi,4,696891493.0,446500000,270.0,29.8,174222873.25,7.45,10.934457465000001
David Yates,6,1210804482.0,1160000000,358.0,41.2,201800747.0,6.866666666666667,10.902681606666668
Ron Clements,8,1135802845.0,985000000,622.0,60.099999999999994,141975355.625,7.512499999999999,10.352007112499999
John Musker,8,1135802845.0,985000000,622.0,60.099999999999994,141975355.625,7.512499999999999,10.352007112499999
Peter Jackson,12,2556697534.0,1314672000,881.0,92.6,213058127.83333334,7.716666666666666,11.977829223333334
F. Gary Gray,10,837953766.0,674500000,519.0,67.39999999999999,83795376.6,6.739999999999999,8.415907531999999
Cary Joji Fukunaga,2,160981784.0,256000000,147.0,15.0,80490892.0,7.5,9.10981784
Sam Mendes,8,993235539.0,778000000,560.0,60.099999999999994,124154442.375,7.512499999999999,9.995588847499999
Bryan Singer,8,1135019979.0,1031000000,496.0,58.0,141877497.375,7.25,10.0875499475
Christopher Nolan,12,2389172169.0,1436006000,918.0,98.30000000000001,199097680.75,8.191666666666668,12.173620281666668
Joachim Rønning,3,nan,450000000,nan,18.8,nan,6.266666666666667,nan
Espen Sandberg,2,nan,265000000,nan,12.2,nan,6.1,nan
Marc Forster,10,674616055.0,654500000,602.0,71.0,67461605.5,7.1,8.44923211
Andrew Adamson,4,863523610.0,370000000,272.0,28.400000000000002,215880902.5,7.1000000000000005,11.417618050000002
Marc Webb,3,489685808.0,427000000,179.0,21.1,163228602.66666666,7.033333333333334,10.297905386666667
Peter Berg,10,714310599.0,838500000,541.0,67.3,71431059.9,6.7299999999999995,8.158621197999999
Michael Bay,14,nan,1820500000,606.0,89.8,nan,6.414285714285714,nan
Colin Trevorrow,4,1038773636.0,390750000,200.0,26.0,259693409.0,6.5,11.693868179999999
Barry Sonnenfeld,9,918508930.0,686250000,482.0,58.199999999999996,102056547.77777778,6.466666666666666,8.50779762222222
Brett Ratner,9,1058083205.0,820000000,nan,59.1,117564800.55555555,6.566666666666666,8.917962677777778
Ridley Scott,22,1716819615.0,1783200000,1398.0,154.5,78037255.22727273,7.0227272727272725,8.583472377272727
Chris Weitz,7,595428116.0,354000000,382.0,44.2,85061159.42857143,6.314285714285715,8.015508902857144
James Wan,10,nan,662700000,nan,nan,nan,nan,nan
Jon Watts,4,1538982847.0,540000000,279.0,29.3,384745711.75,7.325,15.019914235
Brad Bird,7,1612015653.0,887000000,557.0,53.0,230287950.42857143,7.571428571428571,12.17718758
Gareth Edwards,5,974729671.0,565500000,nan,34.1,194945934.2,6.82,10.718918684
Angus MacLane,2,604602749.0,400000000,137.0,13.3,302301374.5,6.65,12.69602749
Josh Cooley,1,434038008.0,200000000,84.0,7.7,434038008.0,7.7,16.38076016
Lee Unkrich,5,1542802591.0,674000000,430.0,40.9,308560518.2,8.18,14.351210364
Shane Black,5,909558215.0,360200000,314.0,34.4,181911643.0,6.88,10.51823286
Matt Reeves,6,822611090.0,575000000,nan,41.9,137101848.33333334,6.983333333333333,9.7253703
