,Writer_Avg_Rating,Director_Avg_Rating,Actor_Avg_Rating,runtimeMinutes,OMDB_Metascore,genres,OMDB_Rated,ReleaseMonth,averageRating,actual,predictions
5428,4.58,4.71,5.31,134.0,27.0,12,3,9.0,3.8,3.8,4.109666666666654
5429,6.54,6.56,6.43,89.0,66.0,12,3,8.0,6.4,6.4,6.457000000000023
5430,7.17,7.3,7.1,75.0,63.0,2,3,5.0,7.1,7.1,7.144333333333301
5431,5.9,5.9,6.11,92.0,62.0,6,0,3.0,6.0,6.0,6.018000000000002
5432,4.9,4.9,5.6,85.0,36.0,2,2,7.0,4.9,4.9,4.988666666666678
5433,5.01,6.08,5.9,88.0,43.0,2,3,7.0,5.4,5.4,5.367000000000011
5434,7.59,7.53,6.32,108.0,78.0,2,1,3.0,8.0,8.0,7.583333333333332
5435,7.79,8.24,7.01,100.0,83.0,2,1,12.0,8.0,8.0,8.018333333333334
5436,5.18,5.0,5.96,92.0,23.0,12,3,8.0,5.1,5.1,5.039333333333333
5437,6.7,7.56,6.11,111.0,59.0,4,0,12.0,6.0,6.0,6.2746666666666675
5438,6.2,6.1,5.83,112.0,36.0,4,0,5.0,6.1,6.1,5.977999999999991
5439,6.75,6.2,5.6,130.0,35.0,3,1,8.0,7.3,7.3,6.905666666666648
5440,5.92,6.32,6.04,100.0,66.0,12,3,4.0,6.4,6.4,6.315000000000021
5441,6.0,6.5,6.08,103.0,56.0,3,3,11.0,6.0,6.0,6.003333333333331
5442,7.47,7.41,6.39,102.0,75.0,2,1,11.0,7.2,7.2,7.342666666666681
5443,6.38,6.6,5.71,105.0,57.0,4,3,3.0,6.6,6.6,6.450999999999974
5444,5.33,5.37,5.92,82.0,70.0,2,0,6.0,5.4,5.4,5.456000000000015
5445,6.84,6.84,6.42,105.0,30.0,2,3,2.0,6.5,6.5,6.470666666666665
5446,7.34,7.14,6.29,120.0,69.0,3,3,7.0,6.7,6.7,6.963000000000017
5447,5.43,5.58,5.26,101.0,38.0,6,3,10.0,5.0,5.0,5.078333333333337
5448,7.2,7.2,7.25,88.0,78.0,2,3,8.0,7.4,7.4,7.364000000000028
5449,5.18,5.78,5.96,97.0,27.0,0,3,7.0,4.7,4.7,4.86633333333335
5450,6.44,6.35,6.35,100.0,31.0,2,0,6.0,7.0,7.0,6.685333333333333
5451,5.93,6.85,6.22,91.0,52.0,2,0,12.0,6.7,6.7,6.564666666666679
5452,6.19,6.47,6.21,108.0,75.0,2,3,4.0,6.6,6.6,6.577999999999977
5453,5.32,6.47,6.32,101.0,37.0,4,3,6.0,4.6,4.6,5.085666666666652
5454,4.95,6.1,6.29,87.0,31.0,2,2,5.0,5.1,5.1,5.145999999999984
5455,6.88,7.48,7.3,85.0,78.0,3,3,10.0,7.3,7.3,7.289333333333322
5456,4.4,5.01,5.66,92.0,29.0,2,3,10.0,4.4,4.4,4.46266666666667
5457,6.13,6.2,6.1,81.0,42.0,2,3,12.0,6.1,6.1,6.05499999999998
5458,6.56,7.0,5.91,80.0,57.0,3,3,8.0,7.0,7.0,6.2386666666666635
5459,6.81,6.7,6.51,137.0,56.0,4,3,7.0,6.8,6.8,6.864666666666647
5460,5.84,5.54,5.55,92.0,33.0,2,1,12.0,4.9,4.9,5.069666666666678
5461,5.82,5.9,5.78,103.0,50.0,6,0,7.0,6.4,6.4,5.755333333333337
5462,6.28,6.88,6.49,151.0,44.0,0,2,3.0,6.5,6.5,6.480999999999995
5463,6.57,6.33,6.2,100.0,67.0,4,3,11.0,6.9,6.9,6.818333333333357
5464,6.74,6.46,6.26,139.0,72.0,10,3,11.0,6.9,6.9,6.954333333333355
5465,5.89,5.8,6.01,86.0,56.0,4,0,4.0,5.8,5.8,5.811666666666648
5466,7.11,7.0,6.8,100.0,65.0,2,3,8.0,6.8,6.8,6.878999999999974
5467,5.6,5.55,6.29,93.0,23.0,4,0,4.0,5.6,5.6,5.561999999999983
5468,6.64,6.33,6.08,107.0,58.0,4,1,9.0,6.4,6.4,6.4613333333333545
5469,6.3,5.23,6.49,94.0,60.0,2,3,9.0,6.5,6.5,6.561666666666665
5470,3.8,3.8,5.65,102.0,38.0,6,2,6.0,3.8,3.8,3.7963333333333162
5471,6.64,6.85,6.46,98.0,58.0,2,0,4.0,6.1,6.1,6.369999999999983
5472,6.3,6.3,6.04,95.0,24.0,2,0,4.0,6.3,6.3,6.143666666666645
5473,7.38,6.76,6.55,123.0,71.0,10,2,11.0,7.7,7.7,7.683666666666673
