Writer,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Jonathan Aibel,9,1232474679.0,954000000.0,495.0,54.699999999999996
Glenn Berger,8,1199104513.0,829000000.0,454.0,48.99999999999999
George Miller,8,551532803.0,550200000.0,572.0,52.699999999999996
Brendan McCarthy,1,154280290.0,150000000.0,90.0,8.1
Nick Lathouris,1,154280290.0,150000000.0,90.0,8.1
Dan Hernandez,1,144174568.0,150000000.0,53.0,6.5
Benji Samit,1,144174568.0,150000000.0,53.0,6.5
Ernest Cline,1,137715350.0,150000000.0,64.0,7.4
Mark Dindal,3,228589989.0,282000000.0,180.0,20.0
Mark Kennedy,1,135386665.0,150000000.0,48.0,5.7
Steve Bencich,3,264077677.0,320000000.0,127.0,16.1
J.J. Abrams,4,484587081.0,363000000.0,255.0,27.200000000000003
Dan Brown,3,385255558.0,350000000.0,136.0,19.5
Homer,2,178890844.0,176000000.0,125.0,15.0
M. Night Shyamalan,15,1601625097.0,857628700.0,736.0,92.5
Jerry Seinfeld,1,126631277.0,150000000.0,54.0,6.1
Spike Feresten,1,126631277.0,150000000.0,54.0,6.1
Barry Marder,1,126631277.0,150000000.0,54.0,6.1
Cormac Wibberley,5,526781957.0,522000000.0,211.0,28.9
Marianne Wibberley,6,560343094.0,592000000.0,246.0,34.3
Hoyt Yeatman,1,119436770.0,150000000.0,41.0,5.1
Chris Williams,2,203690266.0,250000000.0,137.0,14.2
Charise Castro Smith,1,96093622.0,150000000.0,75.0,7.2
Michael Gilio,1,93277026.0,150000000.0,72.0,7.3
Neil Gaiman,4,204218111.0,284000000.0,260.0,28.299999999999997
Roger Avary,7,259257133.0,227200000.0,424.0,50.900000000000006
Anonymous,1,82280579.0,150000000.0,59.0,6.3
Seth Grahame-Smith,4,304121093.0,325500000.0,217.0,25.2
Dan Curtis,1,79727149.0,150000000.0,55.0,6.2
Leo Benvenuti,3,306726547.0,252000000.0,152.0,17.5
Steve Rudnick,3,306726547.0,252000000.0,152.0,17.5
Timothy Harris,6,397988333.0,352000000.0,309.0,34.9
Andrew Kevin Walker,4,299840140.0,290000000.0,192.0,28.299999999999997
David Self,4,292437682.0,390000000.0,224.0,25.8
Curt Siodmak,1,61979680.0,150000000.0,43.0,5.8
Carlo Bernard,2,55708203.0,210000000.0,90.0,12.5
Doug Miro,1,45540830.0,150000000.0,42.0,5.9
J.M. Barrie,4,329552445.0,324000000.0,240.0,27.1
Simon Wells,1,21392758.0,150000000.0,49.0,5.4
Wendy Wells,1,21392758.0,150000000.0,49.0,5.4
Berkeley Breathed,1,21392758.0,150000000.0,49.0,5.4
Spenser Cohen,2,nan,170000000.0,81.0,10.899999999999999
Rawson Marshall Thurber,4,nan,355000000.0,195.0,25.099999999999998
Paul Wernick,8,nan,662600000.0,449.0,54.900000000000006
Rhett Reese,8,nan,662600000.0,449.0,54.900000000000006
Dick Clement,4,123611878.0,247000000.0,252.0,27.799999999999997
Ian La Frenais,3,119328623.0,214000000.0,199.0,21.099999999999998
Christopher Lloyd,1,64665672.0,149000000.0,74.0,6.6
Mark Burton,5,499565856.0,345000000.0,314.0,32.699999999999996
Josh Appelbaum,6,928473708.0,598500000.0,293.0,38.1
André Nemec,6,928473708.0,598500000.0,293.0,38.1
Cressida Cowell,2,337948429.0,274000000.0,148.0,15.2
Tab Murphy,4,440623419.0,381000000.0,253.0,28.000000000000004
Bob Tzudiker,2,229498166.0,198000000.0,140.0,14.399999999999999
Noni White,1,171091819.0,145000000.0,79.0,7.3
Jay Ward,4,252749917.0,298000000.0,192.0,20.5
Craig Wright,1,111506430.0,145000000.0,59.0,6.8
William Joyce,2,210931440.0,245000000.0,110.0,13.8
Clive Cussler,2,nan,185000000.0,nan,11.1
Thomas Dean Donnelly,3,71758914.0,245000000.0,96.0,15.299999999999999
Joshua Oppenheimer,3,71758914.0,245000000.0,96.0,15.299999999999999
Dan Aykroyd,4,673748059.0,276000000.0,247.0,30.6
Harold Ramis,8,975304143.0,297600000.0,504.0,56.6
Rick Moranis,2,487157594.0,174000000.0,142.0,15.6
Ian Fleming,17,998156133.0,576700000.0,1022.0,113.80000000000001
Jonathan Hensleigh,6,482853132.0,467000000.0,281.0,40.8
Jonathan Lemkin,4,255873735.0,337000000.0,184.0,26.9
Edward Zwick,5,275700115.0,383000000.0,258.0,33.6
Marshall Herskovitz,2,169824339.0,200000000.0,102.0,13.899999999999999
Judd Apatow,8,693627809.0,452000000.0,505.0,52.0
Nicholas Stoller,13,810474804.0,754000000.0,705.0,78.50000000000001
Gerald Gaiser,1,110332737.0,140000000.0,47.0,6.2
Adam Cooper,5,227810142.0,412000000.0,212.0,27.900000000000002
Bill Collage,6,nan,532000000.0,265.0,34.1
Jeffrey Caine,3,205024251.0,225500000.0,199.0,20.6
Melissa Mathison,5,571765612.0,226200000.0,374.0,34.6
Matt Sazama,5,274031459.0,485000000.0,178.0,28.6
Burk Sharpless,5,274031459.0,485000000.0,178.0,28.6
Bob Davies,1,nan,140000000.0,nan,3.5
Carl Kuntze,1,nan,140000000.0,nan,3.5
Dave Gibbons,1,107509799.0,138000000.0,56.0,7.6
David Hayter,3,264821656.0,231000000.0,157.0,20.2
