Actor,Instances,Total_Box_Office,Total_Production_Budget,Total_Metascore,Total_IMDB_Rating
Goldie Hawn,8,374935302.0,224000000.0,nan,48.7
Ralph Brown,1,nan,55000000.0,nan,6.7
James Cameron,1,nan,55000000.0,nan,6.7
Michael Angarano,7,nan,135900000.0,333.0,44.099999999999994
Madonna,5,171690815.0,154000000.0,172.0,24.0
Art Parkinson,1,48023088.0,55000000.0,84.0,7.7
Lewis Tan,2,84652062.0,75000000.0,88.0,12.0
Jessica McNamee,2,84652062.0,75000000.0,88.0,12.0
Josh Lawson,2,84652062.0,75000000.0,88.0,12.0
Natascha McElhone,4,55917488.0,120500000.0,177.0,24.1
Cher,2,41545094.0,68000000.0,nan,12.2
Christina Aguilera,2,nan,85000000.0,nan,13.9
Amy Ryan,5,63530339.0,98200000.0,343.0,35.2
André 3000,4,120886175.0,105000000.0,217.0,24.4
Jeremy Piven,6,140925066.0,124000000.0,308.0,37.699999999999996
Corey Hawkins,3,204810132.0,128000000.0,nan,21.2
Leslie Grace,1,29975167.0,55000000.0,84.0,7.3
David Gale,1,nan,55000000.0,nan,5.4
Phil Hay,1,nan,55000000.0,nan,5.4
Matt Manfredi,1,nan,55000000.0,nan,5.4
Peter Chung,1,nan,55000000.0,nan,5.4
Ellen Barkin,4,87777804.0,88000000.0,172.0,25.4
Yara Shahidi,2,21073352.0,64000000.0,106.0,11.5
Stephen Lang,4,nan,81025000.0,nan,24.700000000000003
Lauren Holly,3,33173836.0,109000000.0,nan,17.200000000000003
Anthony Edwards,3,8394883.0,66900000.0,134.0,15.099999999999998
Dominique Bettenfeld,1,nan,55000000.0,nan,7.4
Aline Bonetto,1,nan,55000000.0,nan,7.4
Alain Carsoux,1,nan,55000000.0,nan,7.4
James Mason,7,nan,97200000.0,nan,50.1
Shelley Winters,2,nan,57000000.0,158.0,15.0
Sue Lyon,2,nan,57000000.0,158.0,15.0
Polly Walker,2,nan,68000000.0,nan,11.2
Matt Dillon,10,403956982.0,201500000.0,565.0,64.3
Andy Garcia,8,nan,179300000.0,nan,52.6
Jessica Simpson,3,108721504.0,73000000.0,nan,14.5
José Ferrer,1,nan,53000000.0,nan,7.0
Zsa Zsa Gabor,1,nan,53000000.0,nan,7.0
Suzanne Flon,2,nan,59000000.0,nan,13.4
Nick Loren,1,45246095.0,53000000.0,29.0,5.6
Matt O'Leary,5,nan,103300000.0,225.0,28.0
Ryan Phillippe,11,nan,221800000.0,nan,70.1
Barry Pepper,5,87628010.0,96000000.0,300.0,33.1
Joseph Cross,4,103875594.0,150000000.0,203.0,24.799999999999997
Rose McGowan,2,28154982.0,56000000.0,99.0,13.2
Danny Trejo,4,nan,86500000.0,nan,23.2
Yada Beener,1,22852487.0,53000000.0,57.0,6.0
Jim Caviezel,11,807118393.0,295000000.0,564.0,75.89999999999999
Gerry Becker,1,34607430.0,52000000.0,58.0,7.4
Jonathan Rhys Meyers,6,113522227.0,126600000.0,332.0,42.0
Kasia Smutniak,1,24077427.0,52000000.0,42.0,6.4
Jaime King,2,74904660.0,66000000.0,91.0,10.8
Jóhannes Haukur Jóhannesson,1,35857181.0,51000000.0,63.0,6.6
Marcin Kowalczyk,1,35857181.0,51000000.0,63.0,6.6
Kristin Chenoweth,3,92402056.0,61500000.0,97.0,15.8
Stephen Graham,3,nan,62680000.0,205.0,22.9
Lisa Thoreson,1,62495645.0,50200000.0,60.0,7.0
Linda Cardellini,4,296261219.0,87000000.0,185.0,26.5
Daniel London,2,135282825.0,50300000.0,109.0,13.6
Monica Potter,6,285811399.0,132087000.0,249.0,38.8
Danielle Nicolet,1,127440871.0,50000000.0,52.0,6.3
AJ Michalka,2,129511380.0,51700000.0,111.0,13.0
David Brisbin,1,125595205.0,50000000.0,73.0,7.4
Fayssal Bazzi,1,115253424.0,50000000.0,51.0,6.6
Adam Goldberg,4,nan,71300000.0,nan,24.6
Patrick L. Reyes,1,103804407.0,50000000.0,58.0,7.0
Cesar De León,1,103804407.0,50000000.0,58.0,7.0
Scoot McNairy,3,93520324.0,59000000.0,183.0,19.700000000000003
Sarah Paulson,4,nan,63300000.0,nan,28.1
Gregg Henry,2,90328061.0,60000000.0,115.0,13.899999999999999
Tim Curry,4,252795098.0,111200000.0,170.0,23.799999999999997
Dylan Walsh,2,110084662.0,70000000.0,55.0,10.899999999999999
Chandler Canterbury,1,79957634.0,50000000.0,41.0,6.2
David Dorfman,1,76231249.0,50000000.0,44.0,5.4
Sissy Spacek,9,297784662.0,144500000.0,656.0,61.699999999999996
Rupert Graves,3,73007309.0,55850000.0,192.0,22.1
Thuso Mbedu,1,67328130.0,50000000.0,77.0,6.9
Lashana Lynch,1,67328130.0,50000000.0,77.0,6.9
AnnaSophia Robb,6,nan,152000000.0,325.0,36.8
Christopher Kovaleski,1,67133509.0,50000000.0,43.0,5.8
Lindsay Lohan,7,328129818.0,157250000.0,306.0,38.1
Cheryl Hines,1,66023816.0,50000000.0,47.0,4.9
Mariana Treviño,1,64267657.0,50000000.0,51.0,7.5
Rachel Keller,1,64267657.0,50000000.0,51.0,7.5
Fann Wong,1,60476872.0,50000000.0,58.0,6.2
Eugene Levy,8,346073795.0,180000000.0,416.0,46.8
Alex Pettyfer,5,221116871.0,96500000.0,215.0,29.2
Dianna Agron,3,103881646.0,89000000.0,126.0,18.0
Christopher Compton,1,nan,50000000.0,nan,nan
Taylor Tribe,1,nan,50000000.0,nan,nan
Cole Boerens,1,nan,50000000.0,nan,nan
Diane Lane,12,418348865.0,345000000.0,626.0,78.2
Olivier Martinez,3,73863087.0,70000000.0,148.0,18.6
Sarah Wright,1,51342000.0,50000000.0,65.0,7.1
Amanda Peet,6,nan,133500000.0,nan,38.8
Eric Mabius,2,nan,54000000.0,nan,12.5
Virginia Madsen,5,nan,112700000.0,nan,31.4
Deborah Kara Unger,4,167712728.0,124000000.0,195.0,25.200000000000003
Anne Bancroft,4,92393971.0,115000000.0,223.0,25.0
Sarah Wayne Callies,2,50616301.0,55000000.0,85.0,11.1
Matt Walsh,3,nan,81000000.0,135.0,17.2
Laurie Holden,2,72577589.0,63000000.0,89.0,13.6
Winslow Fegley,2,nan,90000000.0,111.0,12.1
Shawn Mendes,1,46888441.0,50000000.0,51.0,6.1
Sergio Peris-Mencheta,2,44957237.0,75000000.0,63.0,11.7
Brooke Langton,1,44737059.0,50000000.0,30.0,6.6
Steve Lantz,1,43034523.0,50000000.0,57.0,7.1
Jon Tenney,1,42614912.0,50000000.0,16.0,5.5
Joey Travolta,1,42614912.0,50000000.0,16.0,5.5
Zach Galligan,3,197459739.0,61050000.0,nan,18.6
Phoebe Cates,3,211242464.0,86000000.0,190.0,19.400000000000002
Howie Mandel,2,nan,51200000.0,104.0,12.600000000000001
Marcel Iures,1,41263140.0,50000000.0,43.0,6.0
Daniel York,1,39785027.0,50000000.0,43.0,6.6
Joan Chen,4,84644244.0,85200000.0,nan,26.0
Rain,1,38122883.0,50000000.0,34.0,6.3
Rick Yune,1,38122883.0,50000000.0,34.0,6.3
John Corbett,6,355029243.0,110000000.0,278.0,37.400000000000006
Angourie Rice,2,42363839.0,54900000.0,122.0,13.8
Judy Greer,7,nan,122900000.0,297.0,39.5
Lee Pace,1,33644788.0,50000000.0,30.0,4.3
Cécile de France,2,36428007.0,52850000.0,98.0,13.2
Ben Chaplin,3,53903578.0,91000000.0,117.0,16.9
Scott Shepherd,1,29819114.0,50000000.0,65.0,7.2
Ava Cooper,1,29819114.0,50000000.0,65.0,7.2
Gaspard Ulliel,1,27670986.0,50000000.0,35.0,6.1
Colleen Rennison,1,27100031.0,50000000.0,37.0,6.0
Song Kang-ho,2,2743642.0,58600000.0,163.0,14.2
Byun Hee-Bong,1,2201923.0,50000000.0,85.0,7.1
Park Hae-il,1,2201923.0,50000000.0,85.0,7.1
Armin Mueller-Stahl,4,90525518.0,121500000.0,258.0,28.700000000000003
Stacy Keach,3,nan,64000000.0,168.0,19.400000000000002
Eli Marienthal,1,23315035.0,50000000.0,85.0,8.1
Harry Connick Jr.,6,233121892.0,159000000.0,321.0,39.7
Melissa Leo,7,nan,103500000.0,nan,43.4
Gugu Mbatha-Raw,6,nan,112100000.0,340.0,41.4
Mahershala Ali,3,133745139.0,74500000.0,221.0,22.5
Michael C. Hall,1,20534907.0,50000000.0,27.0,5.7
Ludacris,3,60594736.0,58300000.0,126.0,16.9
Christina Milian,2,39964142.0,70500000.0,62.0,10.100000000000001
Kelli Garner,1,19699706.0,50000000.0,35.0,5.4
Alice Englert,1,19452138.0,50000000.0,52.0,6.1
Scott Caan,3,44538351.0,109000000.0,93.0,17.1
Lara Flynn Boyle,2,nan,54500000.0,nan,10.600000000000001
Joe Mantegna,4,32275641.0,75000000.0,nan,23.6
Joe Pantoliano,5,50971189.0,68000000.0,nan,34.3
Aunjanue Ellis-Taylor,2,54219213.0,75000000.0,145.0,13.4
Jon Bernthal,5,217053474.0,149850000.0,324.0,34.199999999999996
Rab Affleck,1,14276317.0,50000000.0,54.0,6.4
Sonya Davison,1,9540691.0,50000000.0,69.0,6.8
Alan Alda,5,175171417.0,150500000.0,271.0,34.699999999999996
David Caruso,3,25172208.0,91500000.0,163.0,17.6
Chazz Palminteri,7,nan,125000000.0,nan,45.099999999999994
Kristin Kreuk,2,nan,60000000.0,nan,10.600000000000001
