,ProductionBudget,Director_Avg_Rating,OMDB_Runtime,ReleaseMonth,Writer_Avg_Rating,OMDB_imdbRating,orig_index,actual,predictions
4557,3500000,5.78,100.0,4.0,5.31,5.2,4633,5.2,5.4366574
4558,3500000,6.84,97.0,5.0,7.03,7.5,4634,7.5,7.0824256
4559,3500000,6.74,91.0,4.0,5.84,7.2,4635,7.2,6.1115837
4560,3500000,7.2,92.0,2.0,7.2,7.0,4636,7.0,7.3254356
4561,3500000,5.72,99.0,2.0,5.62,5.4,4637,5.4,5.605792
4562,3500000,7.8,132.0,1.0,7.75,7.8,4638,7.8,8.044368
4563,3500000,5.9,90.0,12.0,5.9,5.9,4639,5.9,5.880988
4564,3500000,5.77,97.0,2.0,5.8,6.3,4640,6.3,5.704247
4565,3500000,6.6,108.0,1.0,6.6,6.6,4641,6.6,6.7148857
4566,3500000,6.0,92.0,5.0,6.44,6.0,4642,6.0,6.3276043
4567,3500000,4.1,93.0,5.0,4.23,4.1,4643,4.1,4.065438
4568,3500000,6.27,96.0,8.0,6.24,6.0,4644,6.0,6.290273
4569,3500000,6.43,97.0,10.0,5.8,5.8,4645,5.8,6.010921
4570,3500000,6.33,105.0,11.0,7.22,7.3,4646,7.3,7.05724
4571,3500000,7.01,84.0,3.0,7.36,7.7,4647,7.7,7.35775
4572,3500000,6.5,101.0,7.0,6.6,7.1,4648,7.1,6.6521597
4573,3500000,5.85,113.0,6.0,6.5,7.1,4649,7.1,6.3958764
4574,3500000,5.3,81.0,6.0,5.4,5.3,4650,5.3,5.278867
4575,3500000,7.2,94.0,11.0,7.2,7.2,4651,7.2,7.302701
4576,3500000,5.13,97.0,6.0,4.35,4.0,4652,4.0,4.5700727
4577,3500000,5.7,96.0,7.0,5.7,5.7,4653,5.7,5.65041
4578,3500000,7.15,163.0,10.0,7.0,7.0,4654,7.0,7.320928
4579,3500000,6.1,100.0,3.0,6.1,6.1,4655,6.1,6.113576
4580,3500000,4.7,105.0,1.0,4.7,4.7,4656,4.7,4.629255
4581,3500000,6.6,112.0,6.0,6.4,6.4,4657,6.4,6.567891
4582,3500000,6.2,98.0,6.0,6.2,6.2,4658,6.2,6.2343626
4583,3500000,5.15,91.0,3.0,5.4,5.4,4659,5.4,5.232564
4584,3500000,7.97,100.0,6.0,7.91,7.5,4660,7.5,8.120906
4585,3500000,6.3,97.0,7.0,6.3,6.3,4661,6.3,6.3508463
4586,3500000,5.5,104.0,9.0,5.5,5.5,4662,5.5,5.4409933
4587,3500000,6.3,94.0,4.0,5.77,5.5,4663,5.5,5.906064
4588,3500000,5.9,98.0,9.0,5.9,5.9,4664,5.9,5.897621
4589,3500000,5.6,90.0,9.0,5.6,5.6,4665,5.6,5.512527
